Plant_Name,Location,Operator,Capacity_MW,Commission_Date,Nuclear_Type,Reactor_Type,Fuel_Type,Annual_Output_GWh,Status
"Garcia, Bryan and Bryant","USNV Thornton
FPO AA 68973",Collins Ltd,759,2018-06-17,Boiling Water Reactor,Light Water Reactor,Plutonium,2677,Decommissioned
Stewart Group,"1612 Brown Tunnel
North Brittany, DE 96785","Black, Orr and Jenkins",1677,2003-03-16,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,3605,Operational
Watkins-Adams,"030 Chaney Hills Suite 527
Peterside, WV 79628",Morrison Ltd,1288,2011-10-13,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,2752,Under Construction
Snyder and Sons,"37544 Thompson Extension Suite 598
Joseton, VI 22432",Butler and Sons,1464,2002-04-03,Boiling Water Reactor,Light Water Reactor,Plutonium,2332,Decommissioned
Hancock-Mata,"9427 Breanna Centers
Jenniferburgh, AS 96150",Lawrence Inc,988,2021-11-28,Fast Breeder Reactor,Heavy Water Reactor,Uranium,3127,Under Construction
Pearson LLC,"307 Davis Throughway
Joshuastad, HI 02752",Robertson Inc,1057,2001-01-19,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2830,Operational
French LLC,"84394 Lewis Estate
Port Sean, MT 04956",Beck Ltd,510,2001-04-20,Boiling Water Reactor,Light Water Reactor,Uranium,2959,Operational
Johnson-Villa,"55605 Becky Forges Apt. 426
Danielstad, NY 76381","Hall, Welch and Avery",1107,2008-02-10,Pressurized Water Reactor,Light Water Reactor,Uranium,1153,Decommissioned
Glover PLC,"6752 Robert Islands
Shaneberg, SC 26839",Pittman Ltd,641,1998-01-13,Pressurized Water Reactor,Light Water Reactor,Uranium,2333,Under Construction
"Hernandez, Myers and Brooks","4589 Robles Orchard
West Timothyview, AS 50838","Butler, Frazier and Johnson",1479,2006-07-22,Boiling Water Reactor,Gas-cooled Reactor,Thorium,3436,Decommissioned
"Hahn, Powers and Franklin","3962 Campos Valley Suite 276
Dianetown, WY 50833",Castro Ltd,1135,2011-11-27,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,4401,Under Construction
"Davis, Taylor and Jones","291 Murphy Motorway
Port Donald, NM 21433","Ayers, Lewis and Jackson",549,1994-12-30,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,4485,Operational
"Lane, Chapman and Hansen","3039 Jacobson Landing Suite 430
Ponceborough, FL 99770",Ramirez LLC,1414,2004-01-10,Boiling Water Reactor,Light Water Reactor,Plutonium,1691,Under Construction
Ray PLC,"840 Jennifer Track Apt. 950
Washingtonborough, PA 20458","Lewis, Marks and Olson",648,2015-08-02,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,2778,Under Construction
Page-Foster,"318 David Street Apt. 648
Lake Robin, OK 32842",Jensen-Morris,1165,2002-09-11,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1004,Under Construction
"Guzman, Williamson and Mitchell","6894 Garza Plaza
Lake Robert, MA 93569",Washington-Maddox,952,2001-09-22,Pressurized Water Reactor,Light Water Reactor,Thorium,4502,Operational
Payne Group,"464 Smith Wells
South Diana, MD 77375","Robertson, Bright and Edwards",1711,2020-12-07,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1784,Under Construction
Hamilton Inc,"626 Hernandez Freeway Suite 577
Tammyton, RI 37296",Martinez Inc,1165,2006-10-02,Boiling Water Reactor,Light Water Reactor,Thorium,4560,Decommissioned
Waller Ltd,"78961 Hatfield Lodge
Timothyville, MA 45083","Norris, Mason and Shepherd",1709,2018-03-04,Pressurized Water Reactor,Heavy Water Reactor,Uranium,1254,Operational
Powell-Travis,"70179 Mosley Springs
Herringview, MD 84343",Warren LLC,1061,2000-07-18,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2226,Decommissioned
"Vang, Moreno and King","433 Kristen Path
Danielleview, MO 75879","Davis, Heath and Williams",1910,2019-05-28,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1675,Decommissioned
Stafford-Phillips,"349 Clark Via
Christopherchester, TN 67366",Walker-Guzman,765,2016-06-10,Boiling Water Reactor,Gas-cooled Reactor,Thorium,4714,Decommissioned
Valdez Group,"53413 Vaughan Square Apt. 304
Melissabury, OR 46812",Woodward Inc,1409,2022-08-21,Boiling Water Reactor,Light Water Reactor,Plutonium,4302,Operational
"Anderson, Sanders and Brock","41748 Buck Prairie Apt. 278
East Michaelton, GA 38763",Pennington PLC,1632,2008-09-13,Fast Breeder Reactor,Light Water Reactor,Thorium,4792,Decommissioned
Carr Inc,"USS Anderson
FPO AP 68398",Nelson-Goodman,624,2021-08-31,Fast Breeder Reactor,Light Water Reactor,Uranium,2435,Operational
Miller Group,"93106 Robyn Flat Suite 733
North Eugene, CA 29753",White Inc,1604,2018-07-13,Fast Breeder Reactor,Light Water Reactor,Thorium,3145,Operational
Simmons Group,"0497 Sierra Causeway
West Eric, OR 39421","Sanchez, Martinez and Mathews",640,2008-05-25,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4383,Under Construction
Bennett PLC,"76405 Long Views
Figueroamouth, NM 05353",Crawford and Sons,739,2004-03-04,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2712,Under Construction
Duke-Shaw,"29233 Hayes Bridge
North Joshua, NE 62386",Salinas-Lloyd,1133,2007-03-27,Boiling Water Reactor,Light Water Reactor,Thorium,1470,Decommissioned
Lynn PLC,"77627 Brooks Ridges Suite 255
South Latashaview, VT 57561",Castillo and Sons,1551,2008-03-20,Fast Breeder Reactor,Light Water Reactor,Uranium,4337,Under Construction
"Garcia, Taylor and Ryan","42407 Deborah Plains
Michaelview, LA 81457","Perkins, Dominguez and Wallace",1574,2005-07-06,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,3442,Decommissioned
Marshall-Marks,"547 Carney Dale
West Angelafurt, MH 91750",Lawrence Group,858,2003-07-18,Boiling Water Reactor,Heavy Water Reactor,Uranium,4650,Operational
Cunningham-Fisher,"5693 Johnson Cove Apt. 639
Port Davidborough, AS 66090","Crosby, Morse and Escobar",886,2022-03-18,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,2233,Decommissioned
"Thompson, Thornton and Roberts","79036 William Lodge
Lake Williamburgh, WA 76444","Hawkins, Schultz and Wise",909,2016-10-15,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,3666,Decommissioned
Carlson-Johnson,"3346 Christopher Spurs
Brendashire, MI 57977",Rose Group,1884,2020-07-04,Fast Breeder Reactor,Light Water Reactor,Thorium,3558,Decommissioned
"Miller, Perry and Williams","0928 Sawyer Via Apt. 892
Josephfurt, HI 20560",Franklin-Daniels,1688,1997-03-02,Boiling Water Reactor,Light Water Reactor,Uranium,2071,Operational
Watson-Carrillo,"679 Wiley Dam
Smithburgh, AL 39027","Grant, Miles and Roberts",1452,1996-08-03,Fast Breeder Reactor,Heavy Water Reactor,Thorium,3967,Decommissioned
Perez Inc,"USS Rivera
FPO AE 83134",Williamson PLC,1433,2016-05-30,Boiling Water Reactor,Gas-cooled Reactor,Thorium,1861,Under Construction
"Richardson, Mack and Liu","188 John Greens
Ramirezport, AL 64438",Camacho PLC,1335,1996-01-28,Boiling Water Reactor,Light Water Reactor,Thorium,2162,Operational
Avila Ltd,"5319 Carl Plain
Pughville, GU 69958",Cervantes-Greene,1458,2009-04-04,Fast Breeder Reactor,Heavy Water Reactor,Uranium,2316,Under Construction
Williams Group,"732 Jon Cove
Danielhaven, DE 08236",Davis Group,1529,1999-04-22,Fast Breeder Reactor,Light Water Reactor,Uranium,4204,Under Construction
Powers PLC,"9019 Johnson Land Suite 643
East James, NV 87477",Thomas Group,1614,2010-12-16,Boiling Water Reactor,Gas-cooled Reactor,Thorium,3682,Under Construction
Woods-Burnett,"33152 Benjamin Branch
Howardchester, OH 37509",Griffin-Casey,1314,2011-08-02,Pressurized Water Reactor,Heavy Water Reactor,Uranium,3037,Decommissioned
"Washington, King and Davidson","10472 Orr Vista
New Jessica, RI 51201",Vasquez PLC,618,1995-02-23,Fast Breeder Reactor,Light Water Reactor,Thorium,3380,Decommissioned
"Watkins, Russell and Campos","148 James Crossing Apt. 136
Matthewbury, PA 34184",Stevenson PLC,1442,2003-07-24,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3998,Decommissioned
"Baker, Rios and Mitchell","4933 Lee Valley Apt. 632
Tylermouth, MN 52108","Martin, Thornton and Mclaughlin",1046,2023-02-19,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3537,Decommissioned
Collins-Nguyen,"1191 Hammond Ville Apt. 892
South James, WI 48808",Costa-Martinez,1710,2014-04-12,Pressurized Water Reactor,Heavy Water Reactor,Thorium,1743,Under Construction
Singh Ltd,"49011 Smith Cape
Carriemouth, UT 34775","Mccullough, Webster and Tucker",1995,2014-02-19,Pressurized Water Reactor,Light Water Reactor,Uranium,2475,Under Construction
"Moore, Campbell and Hernandez","1284 Spencer Burg
Haroldshire, SD 06091",Oneill-Mann,1046,2008-08-19,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,3088,Decommissioned
Davis-Mclaughlin,"7824 Wong Underpass
North Joshuaburgh, FL 29063","Scott, Osborne and Baker",1528,2023-05-11,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,2768,Operational
Lee-Norton,"97097 Ebony Isle
Newtonburgh, OH 10620","Harris, Wade and Bishop",1279,2004-09-11,Boiling Water Reactor,Heavy Water Reactor,Uranium,1289,Operational
"Vazquez, Salazar and Wright","39929 Benjamin Ridge Suite 868
East Brianmouth, MN 48355","Mcclure, Gonzalez and Young",1021,2023-06-23,Pressurized Water Reactor,Light Water Reactor,Thorium,1042,Decommissioned
Sandoval Group,"00369 Nicole Ridge Suite 191
Barnesburgh, NC 53419",Pittman Ltd,1360,2007-03-17,Pressurized Water Reactor,Heavy Water Reactor,Uranium,4612,Decommissioned
Lee-Brown,"Unit 5992 Box 3744
DPO AA 53655",Rogers-Johnson,1224,2020-05-26,Fast Breeder Reactor,Light Water Reactor,Uranium,2131,Under Construction
Perez-James,"PSC 3243, Box 5160
APO AA 69885",Hernandez-Parker,1254,2007-07-03,Pressurized Water Reactor,Light Water Reactor,Plutonium,4130,Decommissioned
"Davis, Gamble and Perez","000 Matthew Valley
Hollymouth, IA 64054",White-Norton,1224,2023-10-25,Boiling Water Reactor,Light Water Reactor,Plutonium,3698,Operational
"Williams, Kennedy and Dodson","512 Mcdonald Orchard Apt. 337
Walterston, MN 06914",Brown Group,1025,2017-01-26,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4112,Under Construction
Dodson-Scott,"4403 Combs Gardens Suite 493
West Richardburgh, ID 42100","Kerr, Gillespie and Curry",1631,1996-04-08,Boiling Water Reactor,Light Water Reactor,Thorium,4498,Operational
King Inc,"25236 Owen Hollow
South Stephanieshire, GU 25976","Reeves, Davis and Howard",656,1994-11-01,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,1835,Under Construction
Petersen-Torres,"408 Barrett Crest Apt. 825
Lake Jodi, MP 60672",Miller-Juarez,1534,2022-05-25,Pressurized Water Reactor,Light Water Reactor,Uranium,1374,Decommissioned
Harris-Turner,"97538 Higgins Squares
Sarahport, GA 18495",Carney Group,1783,2019-09-09,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3056,Operational
Wilson-Smith,"Unit 5089 Box 5457
DPO AP 02782","Spencer, Campbell and Duran",1177,1996-07-06,Pressurized Water Reactor,Light Water Reactor,Plutonium,4362,Operational
Harrell-Young,"254 Jessica Keys Suite 725
Jonesville, AK 21163","Smith, Moss and French",1065,2008-11-08,Boiling Water Reactor,Heavy Water Reactor,Plutonium,1794,Under Construction
"Fuentes, Johnston and Collins","963 Barnes Prairie Suite 572
Anthonyfurt, VI 23388",Rodriguez LLC,1746,2008-02-13,Boiling Water Reactor,Gas-cooled Reactor,Thorium,4121,Operational
Olson Inc,"6567 Stephanie Station Apt. 950
North Ronnieburgh, VI 90108","Peterson, Turner and Davis",1692,2001-05-11,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2650,Operational
"Contreras, Clayton and Turner","8520 Vargas Camp
Petersport, SD 10753",Stephens PLC,853,2013-06-29,Boiling Water Reactor,Light Water Reactor,Uranium,2531,Operational
King PLC,"PSC 6896, Box 6348
APO AE 65728","Kelly, Estrada and Little",1869,2012-02-24,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,2052,Operational
Wilson-Frank,"867 Jennifer Cliffs Suite 760
Lake Vanessa, TX 30640","Smith, Odonnell and Bennett",1737,2019-05-01,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,2868,Operational
Glover-Martin,"240 Janice Landing
Mcintoshhaven, ID 36238","Santiago, Campbell and Wright",1768,2013-12-19,Boiling Water Reactor,Light Water Reactor,Uranium,2238,Decommissioned
Scott-Savage,"191 Katie Village
Michaeltown, GU 62579","Nguyen, Hopkins and Lowe",1663,2003-06-22,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2343,Under Construction
Watson-Walsh,"683 Edward Groves
Erinstad, SD 99574",Carrillo-Allen,624,2008-06-29,Pressurized Water Reactor,Heavy Water Reactor,Thorium,4730,Under Construction
Brooks LLC,"5752 Roth Circle Apt. 561
New Michael, KY 42273",Allen LLC,847,2012-07-20,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2888,Decommissioned
Powell Group,"49326 Bradley Causeway Apt. 089
Port Anne, MN 38428","Wagner, Ramirez and Singleton",553,2004-08-08,Boiling Water Reactor,Light Water Reactor,Thorium,3525,Operational
"Miller, Moon and Mcdowell","0719 Tony Cape
Myersberg, ND 61208","Duncan, Lawrence and Mitchell",1820,2023-03-06,Pressurized Water Reactor,Light Water Reactor,Uranium,4570,Operational
Rowe LLC,"880 Butler Causeway
Sloanchester, VA 35150",Johnson Inc,706,1999-03-01,Fast Breeder Reactor,Light Water Reactor,Thorium,1749,Under Construction
Garcia-Simmons,"3175 Katelyn Centers Suite 782
Harveyberg, VA 30169","Brown, Esparza and Patterson",1809,2015-10-05,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4240,Under Construction
Nelson-Sherman,"298 Lacey Ridges Suite 324
Port Mary, PR 37208","Wilson, Hoffman and Hernandez",1317,2022-12-01,Boiling Water Reactor,Heavy Water Reactor,Thorium,1958,Under Construction
Manning-Edwards,"Unit 2070 Box 3955
DPO AA 45126",Davidson Group,869,2013-10-01,Boiling Water Reactor,Light Water Reactor,Uranium,1044,Under Construction
"Hernandez, Hanna and Bradley","10813 Schmidt Brook Apt. 077
New Diane, MD 53449",Vazquez-Williams,1345,2012-10-12,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,2829,Decommissioned
Wilson-Huff,"705 Heather Estates
Jameschester, MD 09869",Johnson Ltd,851,2008-04-04,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4102,Under Construction
Martin-Daugherty,"PSC 4282, Box 2095
APO AP 22352","Craig, Lee and Garcia",900,1999-08-20,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1436,Operational
Franklin Group,"2214 Steven Fall Suite 511
West Pamelabury, MH 91607",James Ltd,1725,2008-04-04,Fast Breeder Reactor,Light Water Reactor,Plutonium,1817,Decommissioned
"Holt, Garcia and Simpson","299 Kelly Dam Apt. 832
Huntview, GA 77487","Butler, Hunter and Sanchez",1872,2017-09-29,Boiling Water Reactor,Heavy Water Reactor,Uranium,4344,Under Construction
Carter-Davis,"312 Tony Plaza Suite 984
South Patriciaborough, IL 10696","Ward, Marquez and Jones",1073,2008-08-30,Fast Breeder Reactor,Light Water Reactor,Plutonium,2349,Under Construction
Callahan-Rich,"4377 Mitchell Lock
Combsstad, IA 93807","Gonzalez, Hill and Edwards",1772,2007-05-06,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,4671,Decommissioned
Jimenez-Hernandez,"105 Andrew Radial Suite 071
West Ernest, IA 41775",Morton-Wilkins,1390,2001-02-19,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2565,Under Construction
Wall-Martinez,"85675 Ashley Lights
Fergusonchester, MP 03433",Shelton and Sons,1573,2012-11-21,Boiling Water Reactor,Heavy Water Reactor,Uranium,4326,Under Construction
"Wright, Lynch and Williams","69110 Holder Radial Suite 465
Robertville, NC 91264",Brown-Simpson,1284,1996-04-25,Boiling Water Reactor,Light Water Reactor,Thorium,3267,Decommissioned
"Wilson, Bradshaw and Roberts","82968 Harris Trail Suite 231
Laurahaven, RI 16435",Stone-Hunt,1135,2010-08-20,Pressurized Water Reactor,Light Water Reactor,Thorium,4455,Under Construction
Smith-Miller,"243 Castro Lane
Bradleyburgh, IL 63320",White LLC,717,2021-10-24,Pressurized Water Reactor,Heavy Water Reactor,Uranium,1012,Operational
Cook-Williamson,"561 James Wells Suite 544
Wendyton, VA 55012",Wilkinson-Proctor,1521,2006-05-18,Pressurized Water Reactor,Heavy Water Reactor,Thorium,1639,Operational
Leblanc-Avery,"316 Alicia Port Suite 064
North Gregory, WI 64893",Vincent-Diaz,1207,2018-03-25,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4262,Under Construction
"Wilson, Velez and Cruz","4774 Barron Brook Apt. 620
West William, GU 95831","Schroeder, Guerrero and Lamb",1377,2023-06-17,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3112,Operational
"Scott, Galvan and Blankenship","516 David Trail
West Jerry, VT 65792",Moore and Sons,1442,2006-08-27,Fast Breeder Reactor,Light Water Reactor,Thorium,2548,Operational
"Cole, Turner and Thomas","859 Snyder Isle
North Ryan, PR 62608","Orr, Patrick and Diaz",1986,2006-06-22,Fast Breeder Reactor,Light Water Reactor,Thorium,2128,Under Construction
"Estrada, Cox and Owens","850 Mark Inlet Apt. 675
Lake James, MO 70701",Carter-Luna,1622,2022-03-27,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2448,Operational
"Henderson, Martinez and Larson","05320 Katie Shores Suite 420
Johnchester, DC 83581",Woods-Miranda,645,2000-03-03,Fast Breeder Reactor,Light Water Reactor,Thorium,2680,Under Construction
Ruiz PLC,"90722 Figueroa Lock
Kylestad, HI 71264",Lopez-Holt,725,2017-07-10,Pressurized Water Reactor,Light Water Reactor,Uranium,2853,Decommissioned
"Horton, Gardner and Matthews","113 Patrick Mews
New Shannonton, CA 97361",Jones-Harmon,902,2021-12-07,Boiling Water Reactor,Gas-cooled Reactor,Thorium,1690,Decommissioned
Hunter-Burke,"283 Thompson Prairie Suite 496
Lake Erinmouth, MN 71439",Cabrera and Sons,1195,2002-05-23,Boiling Water Reactor,Light Water Reactor,Uranium,1949,Under Construction
"Kim, Fernandez and Bailey","773 Tyrone Flats
Thompsonview, NY 42709",Walker Inc,817,2010-05-06,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1652,Decommissioned
Day-Flores,"0119 Kristi Junctions
Port Andrew, HI 52593",Clark-Stanton,1399,2009-03-12,Fast Breeder Reactor,Light Water Reactor,Uranium,2615,Operational
"Lewis, Gross and Smith","552 Walsh Unions Suite 369
New Nancy, PA 38086",Graves-Hughes,660,2015-03-09,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4780,Decommissioned
Mcguire-Robinson,"217 Ford Glen
Freemanland, FM 98858",Lewis Ltd,1853,2000-10-15,Boiling Water Reactor,Heavy Water Reactor,Thorium,1067,Decommissioned
"Osborne, Foster and Rogers","213 Anderson Stream Apt. 599
Lisafort, AS 21921","Bowen, Davis and Cowan",720,2023-01-18,Fast Breeder Reactor,Light Water Reactor,Thorium,3194,Operational
"Miller, Lam and Diaz","87218 Oliver Forges
Kathleenport, MD 82509",Campbell-Mayo,1771,2000-02-16,Pressurized Water Reactor,Heavy Water Reactor,Thorium,4339,Operational
Tapia-White,"PSC 2374, Box 6521
APO AP 31166",Garcia-Prince,1133,2009-07-22,Fast Breeder Reactor,Light Water Reactor,Uranium,4832,Decommissioned
Bell-Fox,"3679 Brandy Bypass Apt. 052
Lake Lesliemouth, WI 13349",Avila LLC,648,2008-03-26,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4702,Operational
Newman-Martinez,"30691 Chandler Mountains Suite 855
Romerohaven, RI 46619",Smith-Hall,1367,2016-08-11,Fast Breeder Reactor,Light Water Reactor,Plutonium,2389,Under Construction
Hahn-Curtis,"0618 Ross Centers
Port Michaelville, PR 00508",Melendez-Moore,750,2010-03-13,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2409,Operational
Hoffman LLC,"62597 Christina Plains
Port Sarah, NC 07358",Hoffman-Cohen,677,2010-07-25,Fast Breeder Reactor,Light Water Reactor,Uranium,3350,Decommissioned
"Munoz, Willis and Barnes","97998 White Plaza
Port Michelleport, NH 62192",Flores-Vasquez,680,2006-09-07,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4164,Operational
Gomez-Neal,"8441 Brandon Inlet Suite 582
Kathleenport, IL 74830",Rogers-Nichols,1205,2017-12-30,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3292,Under Construction
Johnson-Martin,"37724 King Mission
Lake Scottview, SC 01573",Mcgee-Ross,1027,2020-10-10,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,2491,Operational
Wheeler-Miller,"PSC 6762, Box 0828
APO AA 62287","Clark, Lynn and Moore",1713,2007-10-18,Fast Breeder Reactor,Light Water Reactor,Plutonium,1639,Decommissioned
Lane-Peterson,"583 Dickson Squares Suite 624
Lake Jasonhaven, WY 31620",Jones PLC,1386,2011-03-15,Fast Breeder Reactor,Heavy Water Reactor,Thorium,1282,Operational
"Collins, Casey and Guzman","USS Hernandez
FPO AA 39862",Jackson-Sanders,900,2001-08-01,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1089,Decommissioned
"Burton, Williams and Skinner","84379 Tiffany Oval Suite 198
North Dean, MS 14250",Marsh-Wagner,775,2013-01-21,Fast Breeder Reactor,Light Water Reactor,Plutonium,3134,Operational
Schmitt-Browning,"741 Sandra Parkway Apt. 380
North Heather, MI 44647",Taylor-Ramirez,873,1995-03-16,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1603,Operational
Douglas-Johnson,"01687 Joseph Prairie
Fowlerburgh, AZ 01290",Casey LLC,553,1999-05-25,Boiling Water Reactor,Heavy Water Reactor,Thorium,1737,Decommissioned
"Smith, Cole and Shelton","38815 Jones Extensions
East Aaronport, VI 26070",Harris LLC,1290,2011-10-21,Boiling Water Reactor,Light Water Reactor,Thorium,1213,Under Construction
Baker PLC,"64263 William Terrace
New William, FM 10699",Thomas-Hernandez,673,2008-12-29,Fast Breeder Reactor,Heavy Water Reactor,Uranium,2245,Operational
Kelly Group,"65897 Deleon Rapid
Perkinsshire, MA 14732","Schultz, Thompson and Sanchez",868,2022-03-11,Fast Breeder Reactor,Light Water Reactor,Plutonium,1495,Under Construction
"Wall, Miller and Fisher","621 Lisa Ridges
West Jessicaside, KS 29988","Robinson, Banks and Baker",1997,2011-02-18,Boiling Water Reactor,Gas-cooled Reactor,Uranium,2748,Under Construction
"Davis, Harris and Reed","75488 Brown Dale Apt. 533
Lake Sherryside, VT 83041","Guzman, Long and Knight",1631,2015-05-14,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1577,Under Construction
Lozano-Wright,"4632 John Pass Suite 839
New Crystalburgh, WV 29544",Charles-Harmon,601,1995-04-28,Boiling Water Reactor,Heavy Water Reactor,Thorium,4824,Decommissioned
"Michael, Ramos and Andrews","129 Terrell Fords
Port Ambermouth, DE 26139","Armstrong, Boyer and Bullock",668,2002-04-18,Boiling Water Reactor,Heavy Water Reactor,Uranium,1129,Decommissioned
Cunningham-Graham,"863 Johnny Ranch
Port Brittany, OH 07938",Guerra-Park,745,2003-05-03,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4453,Decommissioned
Ellis-Calhoun,"USCGC Edwards
FPO AE 73407","Brown, Galvan and Cherry",1317,2003-05-06,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1628,Operational
Davis LLC,"93928 Matthew Garden
New Scott, AZ 34874",Carlson Inc,1757,2014-10-15,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,1825,Decommissioned
Gonzales and Sons,"121 Melissa Fall Suite 321
Markborough, MI 29491","Smith, Wood and Cook",1951,2021-11-28,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1979,Decommissioned
"Mcdowell, Velasquez and Mcdaniel","PSC 5210, Box 1449
APO AE 77345",Boone-Price,824,2023-04-07,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4481,Under Construction
Oneill LLC,"85178 West Roads Suite 784
Anthonyhaven, MH 80976","Barnes, Howard and Anderson",968,2023-07-18,Pressurized Water Reactor,Heavy Water Reactor,Uranium,1191,Under Construction
Cooley-Parker,"9158 Garcia Street
North Jeffrey, WA 22253","Peters, Pineda and Fernandez",986,2004-06-27,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,4487,Under Construction
Juarez-Mccormick,"822 Taylor Station Apt. 352
Lake Justin, MA 27088","Pratt, Davis and Richardson",1443,2015-12-15,Fast Breeder Reactor,Heavy Water Reactor,Thorium,3783,Decommissioned
"Phillips, Conrad and Franco","4031 Lee Mountain Suite 164
Cooperfurt, NC 47401",Richardson-Johnson,981,2015-04-22,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1728,Decommissioned
Howe Inc,"00067 Tyler Run
Port Heatherhaven, MI 28521","Peters, Allen and Richardson",623,2006-02-15,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,1332,Decommissioned
Robinson-Sanchez,"030 Watson Common
New Wendy, DE 25476",Harris Inc,1203,2022-08-26,Boiling Water Reactor,Light Water Reactor,Uranium,2393,Operational
Armstrong Group,"45738 Shawn Street
Lake Brian, PA 75247","Peterson, Smith and Smith",1914,2010-07-14,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3280,Decommissioned
"Rodriguez, Scott and Reyes","1729 Osborne Passage
Carrollshire, ND 17621","Benitez, Mejia and Valenzuela",1253,2017-08-10,Pressurized Water Reactor,Light Water Reactor,Uranium,2197,Under Construction
"Ramos, Singh and Sims","1098 Vargas Stream Suite 888
Santanaview, OK 31828",Wagner and Sons,849,2001-03-16,Boiling Water Reactor,Light Water Reactor,Uranium,3132,Under Construction
"Mendoza, Rogers and Johnson","623 Escobar Ranch
Lake Sarahport, PW 23113",Hall Inc,613,2016-02-08,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2252,Operational
Miller-Garcia,"80883 Hodge Brooks Suite 465
New Brenda, WA 88259","Hodges, Smith and Cherry",1832,2014-07-28,Pressurized Water Reactor,Light Water Reactor,Uranium,2710,Decommissioned
Nguyen-Bryant,"22753 Thompson Walks Suite 259
Tonystad, IA 19517",Cantrell-Cunningham,654,2001-12-06,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4490,Decommissioned
Clark PLC,"USCGC Robertson
FPO AA 06107",Mack PLC,1762,2011-05-18,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,2183,Operational
Moore and Sons,"979 Dustin Roads
East Andrea, WI 96823","Ramirez, Todd and Paul",1754,1998-01-06,Boiling Water Reactor,Heavy Water Reactor,Uranium,2334,Operational
Martinez LLC,"22948 Peterson Wells Suite 439
Taylorland, OR 75547",Alvarez PLC,1262,2018-04-26,Fast Breeder Reactor,Light Water Reactor,Uranium,1579,Decommissioned
"Richards, Hill and Henderson","688 Smith Passage Suite 098
Stevenbury, NM 41872","Brown, Michael and Williams",967,2008-11-08,Boiling Water Reactor,Heavy Water Reactor,Uranium,2275,Operational
Taylor Ltd,"09677 Mcdonald Lights
Veronicaborough, OK 20569",Anderson LLC,588,2002-04-17,Pressurized Water Reactor,Light Water Reactor,Plutonium,4348,Operational
